samp_country,category,fermented_food_type,sample_id,absolute-filepath
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/6b70c81f-385f-4906-ad9e-f7928381a26a.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/72168a42-7d75-4149-a366-c5f3b06e2a91.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/99d2c9ed-48e9-4772-8eb1-a3b7aa40e597.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/4c3c45c4-7c62-4cfa-bddd-79d9e9ddbfb4.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/4f40457b-1280-4b3b-bac7-9c75608870f3.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/4b53e111-be31-462b-8885-5923103bf4cc.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/9ce8a1c7-9364-4e3e-bf21-82953a9f37bc.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/5978df19-5432-4ce3-a004-c1d891a66dab.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/22d9bb47-b8b8-45cd-8863-12b5390d74ab.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/faadfe98-0d27-45e9-a882-6c650848206a.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/bc30f2f8-562c-4804-84d2-22d42bf3acd5.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/f1058e4e-31af-4e55-85e3-5ec1daa15ba6.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/c5bfa44b-84b4-4694-b4d2-0cb70c0dabc0.fasta
